user_id,event_name,timestamp,session_id,platform,country
u_00078,sign_up,2025-12-30 10:41:35,s_u_00078_0000,mobile_ios,IN
u_00078,sign_up,2025-12-30 18:23:56,s_u_00078_0000,web,IN
u_00078,feature_b_used,2025-12-30 19:21:33,s_u_00078_0000,web,IN
u_00078,export_clicked,2025-12-30 23:59:59,s_u_00078_0000,mobile_ios,IN
u_00451,invite_sent,2025-12-31 03:23:04,s_u_00451_0000,mobile_ios,IN
u_00372,page_view,2025-12-31 04:01:42,s_u_00372_0000,web,DE
u_00474,feature_b_used,2025-12-31 07:09:46,s_u_00474_0000,web,US
u_00346,dashboard_view,2025-12-31 08:27:11,s_u_00346_0001,mobile_ios,IN
u_00142,invite_sent,2025-12-31 09:58:15,s_u_00142_0000,mobile_ios,US
u_00258,onboarding_start,2025-12-31 10:37:31,s_u_00258_0000,web,CA
u_00239,dashboard_view,2025-12-31 11:30:50,s_u_00239_0000,web,UK
u_00230,export_clicked,2025-12-31 11:41:04,s_u_00230_0000,mobile_ios,UK
u_00245,onboarding_start,2025-12-31 12:54:58,s_u_00245_0000,web,US
u_00255,subscription_cancelled,2025-12-31 15:01:52,s_u_00255_0000,mobile_ios,US
u_00245,dashboard_view,2025-12-31 15:09:00,s_u_00245_0000,web,US
u_00246,subscription_upgraded,2025-12-31 15:37:00,s_u_00246_0000,mobile_android,DE
u_00201,export_clicked,2025-12-31 16:59:14,s_u_00201_0000,mobile_ios,FR
u_00425,feature_discover,2025-12-31 17:55:43,s_u_00425_0000,mobile_android,DE
u_00250,feature_a_used,2025-12-31 18:09:58,s_u_00250_0000,web,UK
u_00380,export_clicked,2025-12-31 18:09:59,s_u_00380_0000,mobile_android,IN
u_00199,page_view,2025-12-31 19:09:42,s_u_00199_0000,web,US
u_00454,search_performed,2025-12-31 19:11:19,s_u_00454_0001,mobile_android,US
u_00025,report_created,2025-12-31 19:22:47,s_u_00025_0000,mobile_android,US
u_00015,dashboard_view,2025-12-31 19:36:59,s_u_00015_0000,mobile_ios,FR
